id,chr,pos,BAF,DR,total,minor
0,chr1,14403,0.499315715938382,0.861700716974093,3,1
1,chr1,14404,0.498000756033926,0.74544153895716,2,1
2,chr1,14405,0.5,0.673843946158371,2,1
3,chr1,14406,0.496053229941231,0.634026231446699,2,1
4,chr1,14407,0.5,0.725794927940791,2,1
5,chr1,14408,0.49090048587449,0.581836176360253,2,1
6,chr1,14409,0.5,0.674392358691189,2,1
7,chr1,14410,0.5,0.55404485009842,2,1
8,chr1,14411,0.490343565731502,0.775905513806037,2,1
9,chr1,14412,0.5,0.804420113471221,2,1
10,chr1,14413,0.494867707817297,0.602951665244714,2,1
11,chr1,14414,0.5,0.810956731231389,2,1
12,chr1,14415,0.5,0.671222684888312,2,1
13,chr1,14416,0.5,0.525678512948126,2,1
14,chr1,14417,0.489937294394753,0.70642165262364,2,1
15,chr1,14418,0.497267044167807,0.774434160077642,2,1
16,chr1,14419,0.5,0.69152295120196,2,1
17,chr1,14420,0.5,0.4989707995102,2,1
18,chr1,14421,0.5,0.645472936027627,2,1
19,chr1,14422,0.5,0.807806285770239,2,1
20,chr1,14423,0.494205967020871,0.560609487913875,2,1
21,chr1,14424,0.5,0.603359521679034,2,1
22,chr1,14425,0.5,0.723334349108534,2,1
23,chr1,14426,0.499385003894194,0.621092327557885,2,1
24,chr1,14427,0.5,0.821876089030995,2,1
25,chr1,14428,0.492200576791586,0.928545455794224,3,1
26,chr1,14429,0.5,0.674019093922332,2,1
27,chr1,14430,0.494175278525922,0.79709171324627,2,1
28,chr1,14431,0.5,0.767951541927267,2,1
29,chr1,14432,0.489478854448962,0.823218999206453,2,1
30,chr1,14433,0.5,0.733451113926042,2,1
31,chr1,14434,0.5,0.760860099824457,2,1
32,chr1,14435,0.5,0.698982616881476,2,1
33,chr1,14436,0.495497170211119,0.589969964176838,2,1
34,chr1,14437,0.493620928215002,0.630619044873824,2,1
35,chr1,14438,0.498382497819025,0.533073987642337,2,1
36,chr1,14439,0.5,0.869400764699865,3,1
37,chr1,14440,0.5,0.548536467920184,2,1
38,chr1,14441,0.5,0.843969094371778,2,1
39,chr1,14442,0.491325187617509,0.683901342360421,2,1
40,chr1,14443,0.497057907990312,0.549932944921534,2,1
41,chr1,14444,0.5,0.82065228592947,2,1
42,chr1,14445,0.5,0.688967311793748,2,1
43,chr1,14446,0.489745934946461,0.659290918225079,2,1
44,chr1,14447,0.49576287451355,0.756086598280762,2,1
45,chr1,14448,0.499068736863543,0.730611898357907,2,1
46,chr1,14449,0.497913511943472,0.691780517873161,2,1
47,chr1,14450,0.5,0.655749792389882,2,1
48,chr1,14451,0.497668489626651,0.716256359951229,2,1
49,chr1,14452,0.5,0.817520112666249,2,1
50,chr1,14453,0.5,0.557930187522502,2,1
51,chr1,14454,0.488555603076615,0.767373976406895,2,1
52,chr1,14455,0.5,0.559184730576614,2,1
53,chr1,14456,0.5,0.779707232347645,2,1
54,chr1,14457,0.496782651732934,0.767674324036657,2,1
55,chr1,14458,0.495741625453624,0.683750297027855,2,1
56,chr1,14459,0.5,0.70712918842783,2,1
57,chr1,14460,0.491412729798884,0.757053627983742,2,1
58,chr1,14461,0.49918501197601,0.652773459132458,2,1
59,chr1,14462,0.5,0.744513730925351,2,1
60,chr1,14463,0.496905139687887,0.781210334984227,2,1
61,chr1,14464,0.5,0.651245750123271,2,1
62,chr1,14465,0.5,0.698845886280434,2,1
63,chr1,14466,0.496528783575676,0.656708176744925,2,1
64,chr1,14467,0.497474973205276,0.669615711158145,2,1
65,chr1,14468,0.492987435291537,0.68986327993919,2,1
66,chr1,14469,0.5,0.887069338931048,3,1
67,chr1,14470,0.5,0.980650770452439,3,1
68,chr1,14471,0.498143136279838,0.707435302383044,2,1
69,chr1,14472,0.493644809880842,0.698139587212336,2,1
70,chr1,14473,0.496841267140177,0.550742426845137,2,1
71,chr1,14474,0.5,0.803845610210138,2,1
72,chr1,14475,0.5,0.753358965532341,2,1
73,chr1,14476,0.5,0.720901679529603,2,1
74,chr1,14477,0.493667964435363,0.824391454991026,2,1
75,chr1,14478,0.5,0.696871477264778,2,1
76,chr1,14479,0.5,0.639631465040032,2,1
